time,humidity,window_open,window_open_time
2018-03-21 14:00:06.925000,55.05,False,0
2018-03-21 14:00:32.033000,55.15,False,0
2018-03-21 14:00:57.153000,55.05,False,0
2018-03-21 14:01:22.268000,54.76,False,0
2018-03-21 14:01:47.386000,54.57,False,0
2018-03-21 14:02:12.488000,54.47,False,0
2018-03-21 14:02:37.597000,54.38,False,0
2018-03-21 14:03:02.729000,54.38,False,0
2018-03-21 14:03:27.841000,54.38,False,0
2018-03-21 14:03:52.947000,54.28,False,0
2018-03-21 14:04:17.547000,54.57,False,0
2018-03-21 14:04:38.051000,54.85,False,0
2018-03-21 14:05:03.278000,54.95,False,0
2018-03-21 14:05:28.407000,55.15,False,0
2018-03-21 14:05:53.513000,55.34,False,0
2018-03-21 14:06:18.642000,55.43,False,0
2018-03-21 14:06:43.761000,55.24,False,0
2018-03-21 14:07:08.882000,55.24,False,0
2018-03-21 14:07:34.001000,55.15,False,0
2018-03-21 14:07:59.110000,55.05,False,0
2018-03-21 14:08:23.560000,55.05,False,0
2018-03-21 14:08:49.191000,55.15,False,0
2018-03-21 14:09:14.474000,55.15,False,0
2018-03-21 14:09:39.576000,55.15,False,0
2018-03-21 14:10:04.691000,55.24,False,0
2018-03-21 14:10:29.807000,55.24,False,0
2018-03-21 14:10:54.938000,54.95,False,0
2018-03-21 14:11:20.046000,54.66,False,0
2018-03-21 14:11:45.166000,54.57,False,0
2018-03-21 14:12:10.296000,54.57,False,0
2018-03-21 14:12:10.296000,54.57,False,0
2018-03-21 14:12:35.413000,54.57,False,0
2018-03-21 14:13:00.323000,54.57,False,0
2018-03-21 14:13:25.223000,54.66,False,0
2018-03-21 14:13:50.772000,54.76,False,0
2018-03-21 14:14:15.880000,54.85,False,0
2018-03-21 14:14:41,54.95,False,0
2018-03-21 14:15:05.226000,55.05,False,0
2018-03-21 14:15:31.226000,55.05,False,0
2018-03-21 14:15:56.359000,55.05,False,0
2018-03-21 14:16:21.487000,55.05,False,0
2018-03-21 14:16:46.597000,55.15,False,0
2018-03-21 14:17:11.449000,55.24,False,0
2018-03-21 14:17:36.828000,55.24,False,0
2018-03-21 14:18:01.948000,55.24,False,0
2018-03-21 14:18:27.065000,55.34,False,0
2018-03-21 14:18:52.188000,55.43,False,0
2018-03-21 14:19:17.306000,55.43,False,0
2018-03-21 14:19:42.416000,55.43,False,0
2018-03-21 14:19:42.416000,55.43,False,0
2018-03-21 14:20:07.534000,55.43,False,0
2018-03-21 14:20:07.534000,55.43,False,0
2018-03-21 14:20:32.666000,55.52,False,0
2018-03-21 14:20:57.783000,55.52,False,0
2018-03-21 14:21:22.610000,55.62,False,0
2018-03-21 14:21:48.005000,55.62,False,0
2018-03-21 14:22:13.126000,55.72,False,0
2018-03-21 14:22:38.248000,55.62,False,0
2018-03-21 14:22:38.248000,55.62,False,0
2018-03-21 14:23:03.356000,55.52,False,0
2018-03-21 14:23:28.462000,55.52,False,0
2018-03-21 14:23:53.593000,55.43,False,0
2018-03-21 14:24:18.707000,55.43,False,0
2018-03-21 14:24:43.825000,55.24,False,0
2018-03-21 14:25:08.121000,55.24,False,0
2018-03-21 14:25:34.043000,55.34,False,0
2018-03-21 14:25:59.166000,55.34,False,0
2018-03-21 14:26:24.276000,55.43,False,0
2018-03-21 14:26:49.396000,55.43,False,0
2018-03-21 14:27:14.514000,55.34,False,0
2018-03-21 14:27:39.640000,55.34,False,0
2018-03-21 14:28:04.750000,55.52,False,0
2018-03-21 14:28:29.872000,55.52,False,0
2018-03-21 14:28:54.992000,55.52,False,0
2018-03-21 14:29:20.098000,55.62,False,0
2018-03-21 14:29:44.879000,55.62,False,0
2018-03-21 14:30:10.335000,55.43,False,0
2018-03-21 14:30:35.445000,55.24,False,0
2018-03-21 14:31:00.567000,55.15,False,0
2018-03-21 14:31:25.334000,55.24,False,0
2018-03-21 14:31:50.801000,55.15,False,0
2018-03-21 14:32:15.909000,55.15,False,0
2018-03-21 14:32:41.037000,55.15,False,0
2018-03-21 14:33:05.337000,55.05,False,0
2018-03-21 14:33:31.278000,54.95,False,0
2018-03-21 14:33:56.395000,54.76,False,0
2018-03-21 14:34:21.514000,54.66,False,0
2018-03-21 14:34:46.634000,54.57,False,0
2018-03-21 14:35:11.740000,54.57,False,0
2018-03-21 14:35:36.860000,54.47,False,0
2018-03-21 14:36:01.979000,54.38,False,0
2018-03-21 14:36:27.102000,54.47,False,0
2018-03-21 14:36:52.222000,54.66,False,0
2018-03-21 14:37:17.328000,54.85,False,0
2018-03-21 14:37:42.443000,54.85,False,0
2018-03-21 14:38:07.562000,54.95,False,0
2018-03-21 14:38:32.672000,55.05,False,0
2018-03-21 14:38:57.793000,55.34,False,0
2018-03-21 14:39:22.912000,55.34,False,0
2018-03-21 14:39:48.042000,55.34,False,0
2018-03-21 14:40:13.160000,55.43,False,0
2018-03-21 14:40:38.318000,55.52,False,0
2018-03-21 14:41:03.427000,55.52,False,0
2018-03-21 14:41:28.536000,55.52,False,0
2018-03-21 14:41:53.666000,55.52,False,0
2018-03-21 14:42:18.786000,55.43,False,0
2018-03-21 14:42:43.900000,55.62,False,0
2018-03-21 14:43:09.008000,55.62,False,0
2018-03-21 14:43:34.125000,55.72,False,0
2018-03-21 14:43:59.249000,55.91,False,0
2018-03-21 14:44:24.357000,55.81,False,0
2018-03-21 14:44:39.437000,55.52,False,0
2018-03-21 14:45:04.548000,55.24,False,0
2018-03-21 14:45:29.677000,55.05,False,0
