time,humidity,window_open,window_open_time
2018-03-21 14:00:22.283000,46.74,False,0
2018-03-21 14:00:47.413000,46.45,False,0
2018-03-21 14:01:07.498000,46.16,False,0
2018-03-21 14:01:31.837000,46.16,False,0
2018-03-21 14:01:57.454000,46.45,False,0
2018-03-21 14:02:22.848000,46.64,False,0
2018-03-21 14:02:47.969000,46.83,False,0
2018-03-21 14:03:13.090000,46.83,False,0
2018-03-21 14:03:38.210000,46.74,False,0
2018-03-21 14:04:03.327000,46.64,False,0
2018-03-21 14:04:28.451000,46.55,False,0
2018-03-21 14:04:53.578000,46.35,False,0
2018-03-21 14:05:18.695000,46.35,False,0
2018-03-21 14:05:42.955000,46.35,False,0
2018-03-21 14:06:08.573000,46.26,False,0
2018-03-21 14:06:34.052000,46.06,False,0
2018-03-21 14:06:59.161000,45.97,False,0
2018-03-21 14:07:24.280000,45.78,False,0
2018-03-21 14:07:49.401000,45.78,False,0
2018-03-21 14:08:14.510000,45.78,False,0
2018-03-21 14:08:39.640000,45.78,False,0
2018-03-21 14:09:04.761000,45.78,False,0
2018-03-21 14:09:29.870000,45.78,False,0
2018-03-21 14:09:54.116000,45.78,False,0
2018-03-21 14:10:19.738000,45.68,False,0
2018-03-21 14:10:45.216000,45.68,False,0
2018-03-21 14:11:10.327000,45.68,False,0
2018-03-21 14:11:35.458000,45.88,False,0
2018-03-21 14:12:00.565000,46.06,False,0
2018-03-21 14:12:25.679000,46.26,False,0
2018-03-21 14:12:50.793000,46.45,False,0
2018-03-21 14:13:15.914000,46.64,False,0
2018-03-21 14:13:41.021000,46.74,False,0
2018-03-21 14:14:05.272000,46.93,False,0
2018-03-21 14:14:31.258000,46.93,False,0
2018-03-21 14:14:56.388000,46.93,False,0
2018-03-21 14:15:21.525000,47.03,False,0
2018-03-21 14:15:46.636000,47.03,False,0
2018-03-21 14:16:11.759000,47.12,False,0
2018-03-21 14:16:36.877000,47.32,False,0
2018-03-21 14:17:01.994000,47.6,False,0
2018-03-21 14:17:26.669000,47.79,False,0
2018-03-21 14:17:52.218000,47.99,False,0
2018-03-21 14:18:16.396000,48.18,False,0
2018-03-21 14:18:42.458000,48.37,False,0
2018-03-21 14:19:06.676000,48.46,False,0
2018-03-21 14:19:32.697000,48.46,False,0
2018-03-21 14:19:57.814000,48.46,False,0
2018-03-21 14:20:22.934000,48.46,False,0
2018-03-21 14:20:48.054000,48.46,False,0
2018-03-21 14:21:13.182000,48.37,False,0
2018-03-21 14:21:38.289000,48.46,False,0
2018-03-21 14:22:03.396000,48.46,False,0
2018-03-21 14:22:28.516000,48.37,False,0
2018-03-21 14:22:53.147000,48.37,False,0
2018-03-21 14:23:18.764000,48.46,False,0
2018-03-21 14:23:43.893000,48.37,False,0
2018-03-21 14:24:09.003000,48.27,False,0
2018-03-21 14:24:34.127000,48.37,False,0
2018-03-21 14:24:59.233000,48.37,False,0
2018-03-21 14:24:59.233000,48.37,False,0
2018-03-21 14:25:24.350000,48.46,False,0
2018-03-21 14:25:49.463000,48.46,False,0
2018-03-21 14:26:14.585000,48.56,False,0
2018-03-21 14:26:39.696000,48.56,False,0
