time,room,humidity,window_open,window_open_time
2018-03-21 14:00:06.443000,hall,48.08,False,0
2018-03-21 14:00:06.925000,stairs,55.05,False,0
2018-03-21 14:00:07.983000,bathroom,54.42,False,0
2018-03-21 14:00:13.834000,bedroom,33.85,False,0
2018-03-21 14:00:18.883000,kitchen,66.18,False,0
2018-03-21 14:00:22.283000,living_room,46.74,False,0
2018-03-21 14:00:25.113000,dining_room,51.34,False,0
2018-03-21 14:00:31.563000,hall,47.89,False,0
2018-03-21 14:00:32.033000,stairs,55.15,False,0
2018-03-21 14:00:33.113000,bathroom,54.42,False,0
2018-03-21 14:00:38.953000,bedroom,33.85,False,0
2018-03-21 14:00:44.003000,kitchen,66.18,False,0
2018-03-21 14:00:46.633000,hall,47.6,False,0
2018-03-21 14:00:47.413000,living_room,46.45,False,0
2018-03-21 14:00:50.229000,dining_room,51.44,False,0
2018-03-21 14:00:57.153000,stairs,55.05,False,0
2018-03-21 14:00:58.233000,bathroom,54.32,False,0
2018-03-21 14:01:03.638000,bedroom,33.85,False,0
2018-03-21 14:01:06.729000,hall,47.32,False,0
2018-03-21 14:01:07.498000,living_room,46.16,False,0
2018-03-21 14:01:09.109000,kitchen,66.18,False,0
2018-03-21 14:01:15.348000,dining_room,51.62,False,0
2018-03-21 14:01:21.799000,hall,47.03,False,0
2018-03-21 14:01:22.268000,stairs,54.76,False,0
2018-03-21 14:01:23.349000,bathroom,54.32,False,0
2018-03-21 14:01:29.197000,bedroom,33.85,False,0
2018-03-21 14:01:31.837000,living_room,46.16,False,0
2018-03-21 14:01:34.227000,kitchen,66.18,False,0
2018-03-21 14:01:40.468000,dining_room,51.62,False,0
2018-03-21 14:01:41.885000,hall,46.74,False,0
2018-03-21 14:01:47.386000,stairs,54.57,False,0
2018-03-21 14:01:48.465000,bathroom,54.32,False,0
2018-03-21 14:01:54.315000,bedroom,33.85,False,0
2018-03-21 14:01:57.454000,living_room,46.45,False,0
2018-03-21 14:01:59.345000,kitchen,66.18,False,0
2018-03-21 14:02:05.574000,dining_room,51.62,False,0
2018-03-21 14:02:06.998000,hall,46.74,False,0
2018-03-21 14:02:12.488000,stairs,54.47,False,0
2018-03-21 14:02:13.583000,bathroom,54.22,False,0
2018-03-21 14:02:18.817000,bedroom,33.85,False,0
2018-03-21 14:02:22.848000,living_room,46.64,False,0
2018-03-21 14:02:24.448000,kitchen,66.08,False,0
2018-03-21 14:02:30.687000,dining_room,51.72,False,0
2018-03-21 14:02:32.118000,hall,46.55,False,0
2018-03-21 14:02:37.597000,stairs,54.38,False,0
2018-03-21 14:02:38.227000,bathroom,54.22,False,0
2018-03-21 14:02:43.646000,bedroom,33.94,False,0
2018-03-21 14:02:47.969000,living_room,46.83,False,0
2018-03-21 14:02:49.579000,kitchen,65.99,False,0
2018-03-21 14:02:55.810000,dining_room,51.62,False,0
2018-03-21 14:02:57.229000,hall,46.64,False,0
2018-03-21 14:03:02.729000,stairs,54.38,False,0
2018-03-21 14:03:03.819000,bathroom,54.13,False,0
2018-03-21 14:03:09.659000,bedroom,34.04,False,0
2018-03-21 14:03:13.090000,living_room,46.83,False,0
2018-03-21 14:03:14.689000,kitchen,65.8,False,0
2018-03-21 14:03:20.920000,dining_room,51.62,False,0
2018-03-21 14:03:22.349000,hall,46.64,False,0
2018-03-21 14:03:27.841000,stairs,54.38,False,0
2018-03-21 14:03:28.941000,bathroom,54.13,False,0
2018-03-21 14:03:32.400000,hall,47.03,False,0
2018-03-21 14:03:34.781000,bedroom,34.04,False,0
2018-03-21 14:03:37.430000,hall,47.41,False,0
2018-03-21 14:03:38.210000,living_room,46.74,False,0
2018-03-21 14:03:39.811000,kitchen,65.71,False,0
2018-03-21 14:03:46.038000,dining_room,51.65,False,0
2018-03-21 14:03:47.478000,hall,47.79,False,0
2018-03-21 14:03:52.947000,stairs,54.28,False,0
2018-03-21 14:03:53.311000,bathroom,54.04,False,0
2018-03-21 14:03:59.898000,bedroom,33.94,False,0
2018-03-21 14:04:03.327000,living_room,46.64,False,0
2018-03-21 14:04:04.926000,kitchen,65.61,False,0
2018-03-21 14:04:11.156000,dining_room,51.62,False,0
2018-03-21 14:04:12.595000,hall,47.79,False,0
2018-03-21 14:04:17.547000,stairs,54.57,False,0
2018-03-21 14:04:18.217000,bathroom,54.04,False,0
2018-03-21 14:04:25.016000,bedroom,34.04,False,0
2018-03-21 14:04:28.451000,living_room,46.55,False,0
2018-03-21 14:04:30.049000,kitchen,65.42,False,0
2018-03-21 14:04:36.279000,dining_room,51.65,False,0
2018-03-21 14:04:37.709000,hall,47.79,False,0
2018-03-21 14:04:38.051000,stairs,54.85,False,0
2018-03-21 14:04:44.289000,bathroom,54.04,False,0
2018-03-21 14:04:50.137000,bedroom,34.04,False,0
2018-03-21 14:04:52.779000,hall,48.08,False,0
2018-03-21 14:04:53.578000,living_room,46.35,False,0
2018-03-21 14:04:54.837000,kitchen,65.32,False,0
