time,room,temperature,window_open,window_open_time
2018-03-21 14:00:02.963000,bathroom,15.14,False,0
2018-03-21 14:00:03.815000,kitchen,13.33,False,0
2018-03-21 14:00:06.443000,hall,17.73,False,0
2018-03-21 14:00:06.623000,living_room,18.22,False,0
2018-03-21 14:00:08.815000,bedroom,19.744999999999997,False,0
2018-03-21 14:00:11.945000,stairs,15.72,False,0
2018-03-21 14:00:20.093000,dining_room,16.68,False,0
2018-03-21 14:00:21.993000,stairs,15.92,False,0
2018-03-21 14:00:23.063000,bathroom,14.79,False,0
2018-03-21 14:00:28.083000,bathroom,15.14,False,0
2018-03-21 14:00:28.923000,kitchen,13.335,False,0
2018-03-21 14:00:31.563000,hall,17.75,False,0
2018-03-21 14:00:32.333000,living_room,18.215,False,0
2018-03-21 14:00:33.934000,bedroom,19.759999999999998,False,0
2018-03-21 14:00:37.063000,stairs,15.72,False,0
2018-03-21 14:00:44.899000,dining_room,16.68,False,0
2018-03-21 14:00:47.113000,stairs,15.92,False,0
2018-03-21 14:00:48.183000,bathroom,14.79,False,0
2018-03-21 14:00:53.203000,bathroom,15.14,False,0
2018-03-21 14:00:54.043000,kitchen,13.22,False,0
2018-03-21 14:00:54.049000,kitchen,13.44,False,0
2018-03-21 14:00:56.679000,hall,17.755000000000003,False,0
2018-03-21 14:00:57.453000,living_room,18.205,False,0
2018-03-21 14:00:59.038000,bedroom,19.765,False,0
2018-03-21 14:01:02.183000,stairs,15.74,False,0
2018-03-21 14:01:10.319000,dining_room,16.69,False,0
2018-03-21 14:01:12.218000,stairs,15.93,False,0
2018-03-21 14:01:13.299000,bathroom,14.78,False,0
2018-03-21 14:01:18.229000,bathroom,15.14,False,0
2018-03-21 14:01:19.157000,kitchen,13.335,False,0
2018-03-21 14:01:21.799000,hall,17.755000000000003,False,0
2018-03-21 14:01:22.567000,living_room,18.195,False,0
2018-03-21 14:01:23.637000,bedroom,19.765,False,0
2018-03-21 14:01:27.288000,stairs,15.72,False,0
2018-03-21 14:01:35.438000,dining_room,16.69,False,0
2018-03-21 14:01:37.326000,stairs,15.92,False,0
2018-03-21 14:01:38.235000,bathroom,14.8,False,0
2018-03-21 14:01:43.435000,bathroom,15.16,False,0
2018-03-21 14:01:44.265000,kitchen,13.34,False,0
2018-03-21 14:01:46.545000,hall,17.735,False,0
2018-03-21 14:01:47.204000,living_room,18.189999999999998,False,0
2018-03-21 14:01:49.275000,bedroom,19.759999999999998,False,0
2018-03-21 14:01:52.406000,stairs,15.72,False,0
2018-03-21 14:02:00.554000,dining_room,16.695,False,0
2018-03-21 14:02:02.448000,stairs,15.92,False,0
2018-03-21 14:02:03.533000,bathroom,14.8,False,0
2018-03-21 14:02:08.553000,bathroom,15.14,False,0
2018-03-21 14:02:09.378000,kitchen,13.34,False,0
2018-03-21 14:02:12.018000,hall,17.735,False,0
2018-03-21 14:02:12.798000,living_room,18.185000000000002,False,0
2018-03-21 14:02:13.697000,bedroom,19.759999999999998,False,0
2018-03-21 14:02:17.518000,stairs,15.72,False,0
2018-03-21 14:02:25.667000,dining_room,16.695,False,0
2018-03-21 14:02:27.557000,stairs,15.93,False,0
2018-03-21 14:02:28.657000,bathroom,14.8,False,0
2018-03-21 14:02:33.677000,bathroom,15.16,False,0
2018-03-21 14:02:34.488000,kitchen,13.34,False,0
2018-03-21 14:02:37.139000,hall,17.715,False,0
2018-03-21 14:02:37.919000,living_room,18.189999999999998,False,0
2018-03-21 14:02:39.506000,bedroom,19.740000000000002,False,0
2018-03-21 14:02:42.627000,stairs,15.72,False,0
2018-03-21 14:02:50.787000,dining_room,16.78,False,0
2018-03-21 14:02:50.790000,dining_room,16.61,False,0
2018-03-21 14:02:52.677000,stairs,15.92,False,0
2018-03-21 14:02:53.767000,bathroom,14.8,False,0
2018-03-21 14:02:58.219000,bathroom,15.14,False,0
2018-03-21 14:02:58.959000,kitchen,13.335,False,0
2018-03-21 14:03:02.259000,hall,17.705,False,0
2018-03-21 14:03:03.050000,living_room,18.18,False,0
2018-03-21 14:03:03.649000,bedroom,19.744999999999997,False,0
2018-03-21 14:03:07.749000,stairs,15.71,False,0
2018-03-21 14:03:15.900000,dining_room,16.71,False,0
2018-03-21 14:03:17.799000,stairs,15.92,False,0
2018-03-21 14:03:18.889000,bathroom,14.8,False,0
2018-03-21 14:03:23.919000,bathroom,15.14,False,0
2018-03-21 14:03:24.731000,kitchen,13.344999999999999,False,0
2018-03-21 14:03:27.379000,hall,17.7,False,0
2018-03-21 14:03:28.160000,living_room,18.189999999999998,False,0
2018-03-21 14:03:29.751000,bedroom,19.744999999999997,False,0
2018-03-21 14:03:32.861000,stairs,15.72,False,0
2018-03-21 14:03:41.020000,dining_room,16.705,False,0
2018-03-21 14:03:42.921000,stairs,15.92,False,0
2018-03-21 14:03:43.061000,bathroom,14.79,False,0
2018-03-21 14:03:48.191000,bathroom,15.16,False,0
2018-03-21 14:03:49.851000,kitchen,13.344999999999999,False,0
2018-03-21 14:03:52.498000,hall,17.695,False,0
2018-03-21 14:03:53.288000,living_room,18.185,False,0
2018-03-21 14:03:54.868000,bedroom,19.744999999999997,False,0
2018-03-21 14:03:57.047000,stairs,15.71,False,0
2018-03-21 14:04:06.128000,dining_room,16.79,False,0
2018-03-21 14:04:06.136000,dining_room,16.61,False,0
2018-03-21 14:04:07.297000,stairs,15.92,False,0
2018-03-21 14:04:08.717000,bathroom,14.81,False,0
2018-03-21 14:04:14.157000,bathroom,15.16,False,0
2018-03-21 14:04:14.826000,kitchen,13.344999999999999,False,0
